Celsius,Fahrenheit,Humidity
4.9,40.82,52.165457789589
5.0,41.0,49.892071429688
5.0,41.0,50.269239139021
4.7,40.46,51.331574514816
4.5,40.1,52.446885152803
4.5,40.1,52.053707220659
4.3,39.74,50.069743005341
4.2,39.56,48.914838081882
4.1,39.38,46.700178379797
4.0,39.2,45.26201857216
3.7,38.660000000000004,45.521599511808
3.7,38.660000000000004,43.80129356876
3.5,38.3,43.741248722961
3.5,38.3,42.736756122364
3.3,37.94,42.676336089284
3.2,37.76,43.313752993969
3.0,37.4,41.601021069595
2.7,36.86,41.835766687769
2.6,36.68,40.514600851548
2.5,36.5,39.228787128592
2.3,36.14,38.85897286564
2.3,36.14,37.349295609679
2.2,35.96,37.022865785486
2.3,36.14,35.892131874799
2.3,36.14,35.323610717107
2.1,35.78,36.698495485829
2.0,35.6,38.766648932419
